PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Scottie Barnes (37170268),Bennedict Mathurin (37170365),Jake LaRavia (37170492),Jaren Jackson Jr. (37170314),Jay Huff (37170790),Scotty Pippen Jr. (37170398),Jalen Williams (37170290),Jaime Jaquez Jr. (37170401),50000,271.58,4.5862798581463253e-07,187.79999999999998,238.20000000000005,80.05
Scotty Pippen Jr. (37170398),Devin Vassell (37170391),Zaccharie Risacher (37170583),Jayson Tatum (37170261),Brandon Clarke (37170586),Scottie Barnes (37170268),Jaime Jaquez Jr. (37170401),Fred VanVleet (37170344),50000,273.78,5.7006745187862384e-06,223.29999999999998,244.60000000000002,78.89999999999999
Mike Conley (37170470),Tyler Herro (37170307),Jaylen Brown (37170295),Jalen Johnson (37170273),Jay Huff (37170790),Fred VanVleet (37170344),Luguentz Dort (37170453),Scotty Pippen Jr. (37170398),49800,269.72,3.3819129959236217e-06,201.0,247.70000000000005,77.41
Scotty Pippen Jr. (37170398),Donte DiVincenzo (37170511),Jayson Tatum (37170261),Brandon Clarke (37170586),Onyeka Okongwu (37170478),Terry Rozier (37170439),Jalen Johnson (37170273),Tyrese Haliburton (37170300),49900,269.46,2.8528746494976006e-06,211.70000000000002,239.40000000000003,77.8
Trae Young (37170265),Jaylen Brown (37170295),Desmond Bane (37170329),Jake LaRavia (37170492),Jay Huff (37170790),Scottie Barnes (37170268),Brandon Clarke (37170586),Sam Hauser (37170525),49900,269.18,4.309335156506687e-07,169.20000000000002,235.8,77.55999999999999
Scottie Barnes (37170268),Devin Vassell (37170391),Jaime Jaquez Jr. (37170401),Jaren Jackson Jr. (37170314),Onyeka Okongwu (37170478),Scotty Pippen Jr. (37170398),Brandon Clarke (37170586),Bam Adebayo (37170293),49800,269.73,1.5339535757056e-06,192.29999999999998,236.39999999999998,80.03999999999999
Tyler Herro (37170307),Devin Vassell (37170391),Zaccharie Risacher (37170583),Jaren Jackson Jr. (37170314),Bam Adebayo (37170293),Payton Pritchard (37170387),Brandon Clarke (37170586),Julius Randle (37170325),50000,269.86,6.082101820229761e-06,191.2,245.0,79.08000000000001
Alec Burks (37170603),Jaylen Brown (37170295),Jaime Jaquez Jr. (37170401),Jayson Tatum (37170261),Jay Huff (37170790),Mike Conley (37170470),Julius Randle (37170325),Isaiah Hartenstein (37170318),50000,268.54,1.0460630027640833e-06,177.7,236.39999999999998,78.10999999999999
Scotty Pippen Jr. (37170398),Jaylen Brown (37170295),Keldon Johnson (37170569),Jayson Tatum (37170261),Jay Huff (37170790),Jalen Green (37170373),Naz Reid (37170446),Bam Adebayo (37170293),49900,273.24,4.610183913298657e-06,218.1,237.20000000000005,79.39
Scotty Pippen Jr. (37170398),Donte DiVincenzo (37170511),Sam Hauser (37170525),Jaren Jackson Jr. (37170314),Al Horford (37170423),Trae Young (37170265),Zaccharie Risacher (37170583),Jayson Tatum (37170261),49900,270.1,7.367368910925951e-07,202.3,238.50000000000003,77.50999999999999
Trae Young (37170265),Devin Vassell (37170391),Jake LaRavia (37170492),Jeremy Sochan (37170355),Jay Huff (37170790),Anthony Edwards (37170286),Brandon Clarke (37170586),Bam Adebayo (37170293),50000,268.9,4.900455431847359e-07,160.9,244.40000000000003,78.67
Scotty Pippen Jr. (37170398),Luguentz Dort (37170453),Jake LaRavia (37170492),Pascal Siakam (37170322),Julius Randle (37170325),Shai Gilgeous-Alexander (37170258),Zaccharie Risacher (37170583),Myles Turner (37170359),50000,269.07,4.2426214785435107e-07,173.0,245.7,77.96000000000001
Scotty Pippen Jr. (37170398),Luguentz Dort (37170453),Jayson Tatum (37170261),Pascal Siakam (37170322),Brandon Clarke (37170586),Donte DiVincenzo (37170511),Jaime Jaquez Jr. (37170401),Jalen Johnson (37170273),49900,268.74,1.4982196480896962e-06,201.70000000000002,244.3,77.89
Mike Conley (37170470),Derrick White (37170336),Zaccharie Risacher (37170583),Keldon Johnson (37170569),Alperen Sengun (37170284),Scotty Pippen Jr. (37170398),Jaylen Brown (37170295),Bam Adebayo (37170293),49800,269.64,9.523767352637261e-07,178.3,239.3,78.68
Trae Young (37170265),Donte DiVincenzo (37170511),Luguentz Dort (37170453),Jalen Williams (37170290),Brandon Clarke (37170586),Scotty Pippen Jr. (37170398),Naz Reid (37170446),Jalen Johnson (37170273),49900,270.05,1.6989468161332797e-06,185.5,239.50000000000003,77.63
Anthony Edwards (37170286),Jaylen Brown (37170295),Jaime Jaquez Jr. (37170401),Jaren Jackson Jr. (37170314),Jay Huff (37170790),Luguentz Dort (37170453),Brandon Clarke (37170586),Jalen Williams (37170290),49900,270.34,3.1521580736663692e-06,195.20000000000002,237.2,79.08
Scottie Barnes (37170268),Jaylen Brown (37170295),Jake LaRavia (37170492),Jaime Jaquez Jr. (37170401),Jay Huff (37170790),Donte DiVincenzo (37170511),Jaren Jackson Jr. (37170314),Isaiah Hartenstein (37170318),50000,271.75,1.6647748106253704e-06,176.0,234.2,79.84
Scotty Pippen Jr. (37170398),Jaylen Brown (37170295),Zaccharie Risacher (37170583),Naz Reid (37170446),Jay Huff (37170790),Trae Young (37170265),Jabari Smith Jr. (37170383),Jalen Johnson (37170273),49800,270.11,1.2982786929046245e-06,205.1,240.20000000000002,77.86
Tyrese Haliburton (37170300),Tyler Herro (37170307),Jayson Tatum (37170261),Jake LaRavia (37170492),Jay Huff (37170790),Terry Rozier (37170439),Zaccharie Risacher (37170583),Isaiah Hartenstein (37170318),49800,271.55,1.7538154042628422e-06,186.39999999999998,240.00000000000003,78.82
Alec Burks (37170603),Donte DiVincenzo (37170511),Keldon Johnson (37170569),Julius Randle (37170325),Isaiah Hartenstein (37170318),Scotty Pippen Jr. (37170398),Scottie Barnes (37170268),Alperen Sengun (37170284),50000,268.79,4.533955107913727e-07,158.1,236.70000000000002,78.84
Donte DiVincenzo (37170511),Luguentz Dort (37170453),Jaylen Brown (37170295),Jake LaRavia (37170492),Jaren Jackson Jr. (37170314),Scotty Pippen Jr. (37170398),Desmond Bane (37170329),Tyrese Haliburton (37170300),49900,269.07,1.243248449397039e-06,189.4,246.8,78.27
Scotty Pippen Jr. (37170398),Payton Pritchard (37170387),Zaccharie Risacher (37170583),Jaime Jaquez Jr. (37170401),Isaiah Hartenstein (37170318),Terry Rozier (37170439),Jalen Johnson (37170273),Bam Adebayo (37170293),50000,271.03,1.133294921111808e-06,177.4,243.60000000000002,79.32000000000001
Donte DiVincenzo (37170511),Devin Vassell (37170391),Zaccharie Risacher (37170583),Jake LaRavia (37170492),Onyeka Okongwu (37170478),Scottie Barnes (37170268),Jaren Jackson Jr. (37170314),Shai Gilgeous-Alexander (37170258),50000,270.27,2.0962130550463865e-06,164.9,235.0,78.69
Scotty Pippen Jr. (37170398),Terry Rozier (37170439),Jayson Tatum (37170261),Nikola Jovic (37170519),Onyeka Okongwu (37170478),Scottie Barnes (37170268),Jaylen Brown (37170295),Alec Burks (37170603),50000,268.88,9.6225131665152e-07,189.19999999999996,239.5,78.15
Terry Rozier (37170439),Devin Vassell (37170391),Jake LaRavia (37170492),Nikola Jovic (37170519),Isaiah Hartenstein (37170318),Shai Gilgeous-Alexander (37170258),Brandon Clarke (37170586),Jalen Johnson (37170273),50000,268.37,6.391147824230401e-07,151.5,239.20000000000002,78.49
Fred VanVleet (37170344),Terry Rozier (37170439),Scottie Barnes (37170268),Jaren Jackson Jr. (37170314),Jay Huff (37170790),Scotty Pippen Jr. (37170398),RJ Barrett (37170276),Brandon Clarke (37170586),49900,270.09,2.86371034335232e-06,216.7,236.30000000000004,79.13
Scotty Pippen Jr. (37170398),Jaylen Brown (37170295),Zaccharie Risacher (37170583),Jalen Williams (37170290),Jay Huff (37170790),Gradey Dick (37170380),Pascal Siakam (37170322),Isaiah Hartenstein (37170318),49900,272.04,1.048355453718883e-06,206.6,238.09999999999997,79.06
Derrick White (37170336),Jalen Green (37170373),Zaccharie Risacher (37170583),Julius Randle (37170325),Jay Huff (37170790),Shai Gilgeous-Alexander (37170258),Nikola Jovic (37170519),Isaiah Hartenstein (37170318),49900,268.42,6.410048176565197e-07,158.6,233.5,78.53
Scotty Pippen Jr. (37170398),Tyler Herro (37170307),Jaylen Brown (37170295),Jalen Williams (37170290),Al Horford (37170423),Jaylen Wells (37170484),Julius Randle (37170325),Jay Huff (37170790),49900,270.25,1.9145537934442923e-06,200.8,243.1,78.12
Tyler Herro (37170307),Dillon Brooks (37170413),Zaccharie Risacher (37170583),Jaren Jackson Jr. (37170314),Brandon Clarke (37170586),Tyrese Haliburton (37170300),Jaylen Brown (37170295),Scotty Pippen Jr. (37170398),50000,268.44,1.453517313757236e-06,218.4,247.29999999999998,78.24
Trae Young (37170265),Terry Rozier (37170439),Jaylen Brown (37170295),Jaime Jaquez Jr. (37170401),Jay Huff (37170790),Scotty Pippen Jr. (37170398),Jabari Smith Jr. (37170383),Isaiah Hartenstein (37170318),50000,268.41,3.3517095553640175e-07,183.39999999999998,242.5,78.60999999999999
