PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Jrue Holiday (36987621),Duncan Robinson (36987668),Trey Murphy III (36987578),Herbert Jones (36987615),Jakob Poeltl (36987551),Dejounte Murray (36987531),Jaylen Brown (36987534),Yves Missi (36987613),49700,258.74,0.00012519953475303723,269.20000000000005,256.20000000000005,77.63
CJ McCollum (36987563),Duncan Robinson (36987668),Jimmy Butler (36987553),Jayson Tatum (36987508),Yves Missi (36987613),Dru Smith (36987709),Herbert Jones (36987615),Jakob Poeltl (36987551),49800,257.95,8.140735141974195e-05,256.4,244.40000000000003,77.96
Tyler Herro (36987548),CJ McCollum (36987563),Herbert Jones (36987615),Javonte Green (36987705),Bam Adebayo (36987542),Dejounte Murray (36987531),Brandon Boston Jr. (36987637),Yves Missi (36987613),49800,258.5,8.381014440174611e-05,255.09999999999997,244.6,77.87
Dru Smith (36987709),CJ McCollum (36987563),Jimmy Butler (36987553),Tobias Harris (36987585),Bam Adebayo (36987542),Tyler Herro (36987548),Herbert Jones (36987615),Yves Missi (36987613),50000,257.84,5.5537011508186785e-05,245.8,248.70000000000002,77.71000000000001
Dejounte Murray (36987531),CJ McCollum (36987563),Trey Murphy III (36987578),Herbert Jones (36987615),Yves Missi (36987613),Jrue Holiday (36987621),Brandon Boston Jr. (36987637),Jakob Poeltl (36987551),49500,258.98,0.0001620973681480282,275.09999999999997,254.5,78.22
Dru Smith (36987709),Duncan Robinson (36987668),Jayson Tatum (36987508),Herbert Jones (36987615),Yves Missi (36987613),CJ McCollum (36987563),Jimmy Butler (36987553),Tyler Herro (36987548),50000,257.65,7.525447020778473e-05,253.79999999999998,244.89999999999998,77.21
Tyler Herro (36987548),Duncan Robinson (36987668),Trey Murphy III (36987578),Tobias Harris (36987585),Jakob Poeltl (36987551),Dejounte Murray (36987531),Brandon Boston Jr. (36987637),Yves Missi (36987613),49900,258.74,8.99996844752979e-05,259.8,248.1,78.54
Tyler Herro (36987548),CJ McCollum (36987563),Brandon Boston Jr. (36987637),Herbert Jones (36987615),Jakob Poeltl (36987551),Duncan Robinson (36987668),Jayson Tatum (36987508),Dru Smith (36987709),49900,257.9,7.06002122472714e-05,248.5,245.49999999999997,77.66999999999999
CJ McCollum (36987563),Duncan Robinson (36987668),Jimmy Butler (36987553),Javonte Green (36987705),Jakob Poeltl (36987551),Dejounte Murray (36987531),Trey Murphy III (36987578),Yves Missi (36987613),49800,257.7,9.536060642089601e-05,262.0,244.20000000000002,77.88
Dru Smith (36987709),Duncan Robinson (36987668),Herbert Jones (36987615),Jayson Tatum (36987508),Bam Adebayo (36987542),CJ McCollum (36987563),Trey Murphy III (36987578),Yves Missi (36987613),49500,257.77,0.0001481478016977891,275.09999999999997,246.1,77.63
Tyler Herro (36987548),CJ McCollum (36987563),Trey Murphy III (36987578),Herbert Jones (36987615),Yves Missi (36987613),Jrue Holiday (36987621),Brandon Boston Jr. (36987637),Bam Adebayo (36987542),49500,258.76,0.00019240203657923751,279.6,255.00000000000003,77.28000000000002
Tyler Herro (36987548),Trey Murphy III (36987578),Jimmy Butler (36987553),Herbert Jones (36987615),Bam Adebayo (36987542),Duncan Robinson (36987668),Javonte Green (36987705),Jakob Poeltl (36987551),49900,257.11,9.388093892976502e-05,259.09999999999997,251.39999999999998,76.78999999999999
Dejounte Murray (36987531),CJ McCollum (36987563),Herbert Jones (36987615),Jonathan Mogbo (36987678),Yves Missi (36987613),Tyler Herro (36987548),Brandon Boston Jr. (36987637),Jakob Poeltl (36987551),49600,258.77,0.0001033107857193767,260.3,244.0,78.77
Dru Smith (36987709),CJ McCollum (36987563),Brandon Boston Jr. (36987637),Jimmy Butler (36987553),Jakob Poeltl (36987551),Tyler Herro (36987548),Trey Murphy III (36987578),Yves Missi (36987613),49800,258.52,0.00010041281276077909,261.3,245.29999999999998,77.97
Jrue Holiday (36987621),Duncan Robinson (36987668),Trey Murphy III (36987578),Herbert Jones (36987615),Yves Missi (36987613),Tyler Herro (36987548),Jaylen Brown (36987534),Dejounte Murray (36987531),49900,258.44,0.00011573677921937744,266.6,256.70000000000005,76.88
Jrue Holiday (36987621),Duncan Robinson (36987668),Jaylen Brown (36987534),Tobias Harris (36987585),Jakob Poeltl (36987551),Tyler Herro (36987548),Trey Murphy III (36987578),Yves Missi (36987613),50000,258.05,7.068919037709241e-05,254.2,255.4,77.25
CJ McCollum (36987563),Duncan Robinson (36987668),Trey Murphy III (36987578),Haywood Highsmith (36987682),Kristaps Porzingis (36987557),Dejounte Murray (36987531),Herbert Jones (36987615),Jakob Poeltl (36987551),50000,257.85,7.13687519321868e-05,253.50000000000003,251.5,78.11
Tyler Herro (36987548),Duncan Robinson (36987668),Trey Murphy III (36987578),Haywood Highsmith (36987682),Bam Adebayo (36987542),CJ McCollum (36987563),Herbert Jones (36987615),Kristaps Porzingis (36987557),50000,257.63,8.47113890666717e-05,258.0,252.0,77.16999999999999
CJ McCollum (36987563),Duncan Robinson (36987668),Trey Murphy III (36987578),Herbert Jones (36987615),Bam Adebayo (36987542),De'Aaron Fox (36987522),Brandon Boston Jr. (36987637),Yves Missi (36987613),50000,258.23,0.00016507645550864537,278.1,250.20000000000002,77.72
CJ McCollum (36987563),Duncan Robinson (36987668),Brandon Boston Jr. (36987637),Jayson Tatum (36987508),Kristaps Porzingis (36987557),Trey Murphy III (36987578),Herbert Jones (36987615),Yves Missi (36987613),50000,257.44,0.00010823882708028672,267.0,244.89999999999998,78.01
Dejounte Murray (36987531),Duncan Robinson (36987668),Jimmy Butler (36987553),Herbert Jones (36987615),Bam Adebayo (36987542),Jrue Holiday (36987621),Trey Murphy III (36987578),Yves Missi (36987613),49500,257.06,0.00012656435526269967,268.59999999999997,252.60000000000002,77.14
Dru Smith (36987709),CJ McCollum (36987563),Jaylen Brown (36987534),Herbert Jones (36987615),Jakob Poeltl (36987551),Tyler Herro (36987548),Keegan Murray (36987594),Yves Missi (36987613),50000,258.39,5.8095485434644554e-05,247.40000000000003,256.2,77.6
Dejounte Murray (36987531),Duncan Robinson (36987668),Herbert Jones (36987615),Jonathan Mogbo (36987678),Jakob Poeltl (36987551),Tyler Herro (36987548),Jaylen Brown (36987534),Yves Missi (36987613),49800,258.53,7.979440045704422e-05,254.40000000000003,245.70000000000002,78.18
Dejounte Murray (36987531),Duncan Robinson (36987668),Jayson Tatum (36987508),Herbert Jones (36987615),Yves Missi (36987613),Tyler Herro (36987548),Brandon Boston Jr. (36987637),Jrue Holiday (36987621),49800,257.2,7.16977263377582e-05,250.2,247.9,77.19
Tyler Herro (36987548),Duncan Robinson (36987668),Trey Murphy III (36987578),Jonathan Mogbo (36987678),Bam Adebayo (36987542),CJ McCollum (36987563),Brandon Boston Jr. (36987637),Kristaps Porzingis (36987557),49900,256.9,6.923859453306533e-05,249.2,238.6,77.78
Tyler Herro (36987548),Trey Murphy III (36987578),Brandon Boston Jr. (36987637),Herbert Jones (36987615),Jakob Poeltl (36987551),Dru Smith (36987709),Jayson Tatum (36987508),Yves Missi (36987613),49800,258.16,9.900269780480082e-05,262.1,247.89999999999998,77.83000000000001
Dejounte Murray (36987531),Duncan Robinson (36987668),Trey Murphy III (36987578),Jayson Tatum (36987508),Yves Missi (36987613),Jrue Holiday (36987621),Javonte Green (36987705),Jakob Poeltl (36987551),49800,257.2,6.164160767177598e-05,249.29999999999998,245.20000000000005,77.3
Tyler Herro (36987548),Duncan Robinson (36987668),Keegan Murray (36987594),Herbert Jones (36987615),Bam Adebayo (36987542),Dejounte Murray (36987531),Javonte Green (36987705),Jakob Poeltl (36987551),50000,257.53,4.533835015663027e-05,237.30000000000004,253.39999999999998,77.27
Tyler Herro (36987548),Duncan Robinson (36987668),Javonte Green (36987705),Herbert Jones (36987615),Jakob Poeltl (36987551),Dejounte Murray (36987531),Trey Murphy III (36987578),Kristaps Porzingis (36987557),50000,258.42,6.451411416284016e-05,249.4,248.29999999999998,77.79
Dejounte Murray (36987531),CJ McCollum (36987563),Herbert Jones (36987615),Jimmy Butler (36987553),Jakob Poeltl (36987551),Duncan Robinson (36987668),Trey Murphy III (36987578),Dru Smith (36987709),49800,257.68,9.706150262777406e-05,259.8,250.2,77.80999999999999
Jrue Holiday (36987621),Trey Murphy III (36987578),Herbert Jones (36987615),Haywood Highsmith (36987682),Yves Missi (36987613),CJ McCollum (36987563),Jayson Tatum (36987508),Jakob Poeltl (36987551),50000,257.71,9.16487591596492e-05,262.3,256.90000000000003,77.14999999999999
Jrue Holiday (36987621),Duncan Robinson (36987668),RJ Barrett (36987525),Herbert Jones (36987615),Jakob Poeltl (36987551),Tyler Herro (36987548),Trey Murphy III (36987578),Yves Missi (36987613),49700,258.35,0.00014676331344461917,274.4,257.29999999999995,77.49
Jrue Holiday (36987621),Duncan Robinson (36987668),Brandon Boston Jr. (36987637),Jimmy Butler (36987553),Jakob Poeltl (36987551),Tyler Herro (36987548),Herbert Jones (36987615),Dejounte Murray (36987531),49900,257.19,6.0314565873298474e-05,242.0,252.00000000000003,77.18
Tyler Herro (36987548),Duncan Robinson (36987668),Herbert Jones (36987615),Tobias Harris (36987585),Yves Missi (36987613),Dejounte Murray (36987531),Trey Murphy III (36987578),Kristaps Porzingis (36987557),49900,257.82,7.490174942613635e-05,257.4,250.29999999999998,78.2
