PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Mike Conley (37026982),Buddy Hield (37026973),Jayson Tatum (37026744),Jonathan Kuminga (37026881),Dereck Lively II (37026945),Anthony Black (37027031),Justin Champagnie (37026970),Anthony Davis (37026740),50000,267.76,2.7623202534085633e-05,230.7,240.8,81.12
Jared Butler (37027124),Anthony Black (37027031),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Anthony Davis (37026740),Jrue Holiday (37026942),LeBron James (37026748),Goga Bitadze (37026910),49700,268.69,3.426932258239531e-05,233.7,236.2,80.88
Anthony Black (37027031),Marcus Smart (37027018),Justin Champagnie (37026970),LeBron James (37026748),Goga Bitadze (37026910),Buddy Hield (37026973),Jonathan Kuminga (37026881),Anthony Davis (37026740),50000,267.64,1.0840628128759792e-05,223.0,235.4,81.33
Jared Butler (37027124),Buddy Hield (37026973),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Kristaps Porzingis (37026796),Jalen Suggs (37026798),Bilal Coulibaly (37026927),Anthony Davis (37026740),49900,267.87,3.985018284438649e-05,239.1,241.7,81.2
Jared Butler (37027124),Buddy Hield (37026973),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Jalen Suggs (37026798),Jaren Jackson Jr. (37026801),Anthony Davis (37026740),50000,266.16,2.0817259694828756e-05,231.4,234.1,82.39
Jared Butler (37027124),Buddy Hield (37026973),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Anthony Davis (37026740),Anthony Black (37027031),Jayson Tatum (37026744),Goga Bitadze (37026910),49500,267.77,5.261745799847659e-05,243.7,234.8,81.76
Jalen Suggs (37026798),Jordan Poole (37026805),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Dereck Lively II (37026945),Anthony Black (37027031),Jayson Tatum (37026744),Goga Bitadze (37026910),49900,267.05,2.1260755778480177e-05,223.3,244.7,82.74000000000001
Jalen Suggs (37026798),Anthony Black (37027031),Justin Champagnie (37026970),LeBron James (37026748),Rudy Gobert (37026830),Jared Butler (37027124),Jonathan Kuminga (37026881),Kristaps Porzingis (37026796),50000,267.48,1.0002189151288872e-05,210.7,241.5,81.5
Jalen Suggs (37026798),Anthony Black (37027031),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Dereck Lively II (37026945),Derrick White (37026821),Bilal Coulibaly (37026927),Anthony Davis (37026740),50000,267.28,2.500736589772717e-05,229.4,253.39999999999998,80.84
Anthony Black (37027031),Klay Thompson (37026988),Bilal Coulibaly (37026927),Jayson Tatum (37026744),Anthony Davis (37026740),Buddy Hield (37026973),Jonathan Kuminga (37026881),Justin Champagnie (37026970),50000,266.03,2.8740939294541855e-05,231.9,250.4,79.82000000000001
Anthony Black (37027031),Buddy Hield (37026973),Justin Champagnie (37026970),Jayson Tatum (37026744),Dereck Lively II (37026945),Luka Doncic (37026735),Jonathan Kuminga (37026881),Jared Butler (37027124),49900,267.01,2.1454460669892672e-05,226.9,236.7,81.67
Jordan Poole (37026805),Austin Reaves (37026858),Justin Champagnie (37026970),LeBron James (37026748),Dereck Lively II (37026945),Jared Butler (37027124),Jonathan Kuminga (37026881),Kristaps Porzingis (37026796),50000,266.36,9.43332944677378e-06,208.6,234.6,81.33
Jordan Poole (37026805),Anthony Black (37027031),Bilal Coulibaly (37026927),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Jalen Suggs (37026798),Justin Champagnie (37026970),LeBron James (37026748),49900,266.42,2.345744843955262e-05,225.6,251.2,81.8
Mike Conley (37026982),Buddy Hield (37026973),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Anthony Davis (37026740),Anthony Black (37027031),LeBron James (37026748),Dereck Lively II (37026945),49900,268.51,2.8885176253916968e-05,231.6,240.2,81.41
Anthony Black (37027031),Buddy Hield (37026973),Justin Champagnie (37026970),LeBron James (37026748),Dereck Lively II (37026945),Luka Doncic (37026735),Jonathan Kuminga (37026881),Jared Butler (37027124),49800,267.76,2.2434613695420764e-05,227.8,236.1,81.96000000000001
Anthony Black (37027031),Jordan Poole (37026805),Jayson Tatum (37026744),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Jalen Suggs (37026798),Bilal Coulibaly (37026927),Justin Champagnie (37026970),50000,265.67,2.2432608459183813e-05,224.7,251.8,81.51
Anthony Black (37027031),Austin Reaves (37026858),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Daniel Gafford (37026980),Jared Butler (37027124),LeBron James (37026748),Anthony Davis (37026740),50000,267.52,9.01499296762111e-06,212.8,230.7,81.32
Jared Butler (37027124),Buddy Hield (37026973),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Anthony Black (37027031),LeBron James (37026748),Anthony Davis (37026740),49400,268.52,5.5021301257290246e-05,244.6,234.2,82.05
Jared Butler (37027124),Anthony Black (37027031),Bilal Coulibaly (37026927),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Buddy Hield (37026973),LeBron James (37026748),Anthony Davis (37026740),49800,268.13,3.7142843166130446e-05,231.7,238.4,81.6
Jalen Suggs (37026798),Derrick White (37026821),Bilal Coulibaly (37026927),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Jared Butler (37027124),Justin Champagnie (37026970),Anthony Davis (37026740),49900,266.53,2.9439494938673068e-05,233.5,245.6,80.84
Luka Doncic (37026735),Anthony Black (37027031),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Klay Thompson (37026988),LeBron James (37026748),Jared Butler (37027124),50000,267.06,1.124022862559171e-05,213.6,237.3,81.6
Jared Butler (37027124),Anthony Black (37027031),Jaden McDaniels (37027041),LeBron James (37026748),Karl-Anthony Towns (37026742),Jalen Suggs (37026798),Jonathan Kuminga (37026881),Justin Champagnie (37026970),50000,265.04,7.858692026305653e-06,209.9,244.3,81.38
Jared Butler (37027124),Jordan Poole (37026805),Justin Champagnie (37026970),Naz Reid (37026966),Anthony Davis (37026740),Jalen Suggs (37026798),Jonathan Kuminga (37026881),Goga Bitadze (37026910),50000,266.73,2.1213435917394705e-05,225.2,234.0,82.53
Jared Butler (37027124),Anthony Black (37027031),Jayson Tatum (37026744),LeBron James (37026748),Wendell Carter Jr. (37026930),Jalen Suggs (37026798),Justin Champagnie (37026970),Buddy Hield (37026973),50000,264.59,6.823278203123345e-06,192.1,238.1,81.28
Jared Butler (37027124),Shaedon Sharpe (37026873),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Anthony Davis (37026740),Anthony Black (37027031),LeBron James (37026748),Dereck Lively II (37026945),50000,268.02,1.9231102904346342e-05,225.5,237.1,81.53
Jared Butler (37027124),Buddy Hield (37026973),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Anthony Davis (37026740),Anthony Black (37027031),Jaylen Brown (37026775),Jalen Suggs (37026798),50000,267.04,1.6386559151672638e-05,227.8,240.3,81.04
Jalen Brunson (37026780),Anthony Black (37027031),Justin Champagnie (37026970),LeBron James (37026748),Goga Bitadze (37026910),Jared Butler (37027124),Jonathan Kuminga (37026881),Kristaps Porzingis (37026796),49800,266.11,9.392332855915757e-06,211.9,235.8,81.76
Jordan Poole (37026805),Anthony Black (37027031),Klay Thompson (37026988),LeBron James (37026748),Daniel Gafford (37026980),Jared Butler (37027124),Justin Champagnie (37026970),Anthony Davis (37026740),50000,264.64,2.592873623649246e-06,176.2,228.9,81.28999999999999
Kyrie Irving (37026783),Anthony Black (37027031),Bilal Coulibaly (37026927),Jonathan Kuminga (37026881),Kristaps Porzingis (37026796),Jared Butler (37027124),LeBron James (37026748),Goga Bitadze (37026910),50000,265.29,7.158534345371723e-06,200.2,239.6,81.21
Anthony Black (37027031),Jordan Poole (37026805),Justin Champagnie (37026970),LeBron James (37026748),Kristaps Porzingis (37026796),Jalen Suggs (37026798),Bilal Coulibaly (37026927),Jared Butler (37027124),50000,265.56,7.015067960244196e-06,190.0,241.8,81.16
Anthony Black (37027031),Buddy Hield (37026973),Bilal Coulibaly (37026927),LeBron James (37026748),Anthony Davis (37026740),Mike Conley (37026982),Justin Champagnie (37026970),Jonathan Kuminga (37026881),50000,267.13,3.0477272582873014e-05,233.0,247.3,80.18
Jalen Suggs (37026798),Anthony Black (37027031),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Mike Conley (37026982),LeBron James (37026748),Kristaps Porzingis (37026796),49700,266.3,1.2272317879608838e-05,212.8,240.4,81.93
Anthony Edwards (37026764),Anthony Black (37027031),Bilal Coulibaly (37026927),Jonathan Kuminga (37026881),Dereck Lively II (37026945),Buddy Hield (37026973),Justin Champagnie (37026970),Anthony Davis (37026740),49900,264.25,1.4613967274096063e-05,229.0,249.9,80.84
Mike Conley (37026982),Austin Reaves (37026858),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Anthony Davis (37026740),Jared Butler (37027124),LeBron James (37026748),Anthony Black (37027031),49900,267.17,1.545427365877905e-05,218.8,236.5,80.22
Jrue Holiday (37026942),Anthony Black (37027031),Justin Champagnie (37026970),LeBron James (37026748),Anthony Davis (37026740),Shaedon Sharpe (37026873),Jonathan Kuminga (37026881),Jared Butler (37027124),50000,266.1,1.3628340640875356e-05,218.1,239.5,79.7
Jared Butler (37027124),Anthony Black (37027031),Justin Champagnie (37026970),LeBron James (37026748),Dereck Lively II (37026945),Luka Doncic (37026735),Naz Reid (37026966),Jonathan Kuminga (37026881),49900,266.18,1.2032405269170308e-05,214.4,232.7,81.91
Jared Butler (37027124),Anthony Black (37027031),Justin Champagnie (37026970),Jayson Tatum (37026744),Naz Reid (37026966),Luka Doncic (37026735),Jonathan Kuminga (37026881),Dereck Lively II (37026945),50000,265.43,1.150671766032306e-05,213.5,233.3,81.62
Jared Butler (37027124),Anthony Black (37027031),Justin Champagnie (37026970),Jayson Tatum (37026744),Dereck Lively II (37026945),Jalen Suggs (37026798),LeBron James (37026748),Naz Reid (37026966),50000,265.82,9.02450575660853e-06,193.8,233.6,81.7
Jordan Poole (37026805),Buddy Hield (37026973),Klay Thompson (37026988),LeBron James (37026748),Anthony Davis (37026740),Anthony Black (37027031),Justin Champagnie (37026970),Jared Butler (37027124),50000,266.36,8.920719967078952e-06,196.7,236.1,80.85
Anthony Black (37027031),Buddy Hield (37026973),Desmond Bane (37026825),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Jalen Suggs (37026798),Justin Champagnie (37026970),Anthony Davis (37026740),49900,266.42,2.6596177418662736e-05,231.6,244.7,82.11
Jrue Holiday (37026942),Buddy Hield (37026973),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Anthony Davis (37026740),Jared Butler (37027124),LeBron James (37026748),Dereck Lively II (37026945),49800,268.28,4.168515242652179e-05,238.8,235.7,80.53
Jrue Holiday (37026942),Anthony Black (37027031),Jayson Tatum (37026744),LeBron James (37026748),Goga Bitadze (37026910),Buddy Hield (37026973),Jonathan Kuminga (37026881),Justin Champagnie (37026970),49900,266.65,2.5996393686739848e-05,227.5,243.5,80.4
Jared Butler (37027124),Anthony Black (37027031),Justin Champagnie (37026970),LeBron James (37026748),Goga Bitadze (37026910),Carlton Carrington (37026938),Jonathan Kuminga (37026881),Anthony Davis (37026740),49800,267.25,1.6182735663908902e-05,224.2,236.3,81.72
Jared Butler (37027124),Anthony Black (37027031),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Kevin Durant (37026771),Jalen Suggs (37026798),LeBron James (37026748),Goga Bitadze (37026910),50000,266.02,1.750383101475552e-05,221.8,237.8,82.03
Jared Butler (37027124),Austin Reaves (37026858),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Dereck Lively II (37026945),Buddy Hield (37026973),Jayson Tatum (37026744),LeBron James (37026748),50000,266.82,2.3873921825798874e-05,227.2,236.9,80.69
