PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Jared Butler (36930398),Carlton Carrington (36930293),Marvin Bagley III (36930299),Nikola Jokic (36929997),Jordan Poole (36930110),Mikal Bridges (36930150),OG Anunoby (36930138),Michael Porter Jr. (36930102),50000,272.34,1.8302069971884808e-05,226.1,245.7,78.97
Carlton Carrington (36930293),Mason Plumlee (36930301),Mikal Bridges (36930150),OG Anunoby (36930138),Aaron Gordon (36930147),Daniel Gafford (36930205),Luka Doncic (36929999),Jaren Jackson Jr. (36930090),50000,257.45,4.048724110800847e-07,162.8,245.9,78.84
Jared Butler (36930398),Jordan Poole (36930110),Karl-Anthony Towns (36930021),OG Anunoby (36930138),Michael Porter Jr. (36930102),Alexandre Sarr (36930172),Jamal Murray (36930069),Alex Caruso (36930373),49700,256.78,5.15720896757033e-07,154.0,236.79999999999998,78.52
Jared Butler (36930398),Carlton Carrington (36930293),Nikola Jokic (36929997),Jay Huff (36930422),OG Anunoby (36930138),Oso Ighodaro (36930289),Ja Morant (36930026),Jaren Jackson Jr. (36930090),49800,260.65,1.375961167210906e-07,172.6,222.6,80.32000000000001
Carlton Carrington (36930293),Nikola Jokic (36929997),Jordan Poole (36930110),Marcus Smart (36930285),OG Anunoby (36930138),Jimmy Butler (36930076),Aaron Wiggins (36930341),Terry Rozier (36930259),50000,261.94,8.224908867266458e-07,173.9,236.3,78.17
Jordan Poole (36930110),Marcus Smart (36930285),Aaron Gordon (36930147),Alexandre Sarr (36930172),Luka Doncic (36929999),Justin Champagnie (36930405),Kyrie Irving (36930036),Isaiah Joe (36930360),49900,250.17,5.975441223226674e-08,117.89999999999999,228.8,77.6
Jared Butler (36930398),Nikola Jokic (36929997),Jay Huff (36930422),Marcus Smart (36930285),OG Anunoby (36930138),Shai Gilgeous-Alexander (36930002),Michael Porter Jr. (36930102),Justin Champagnie (36930405),50000,265.35,1.57849541415723e-06,176.2,221.2,79.17
Jared Butler (36930398),Carlton Carrington (36930293),Marvin Bagley III (36930299),Nikola Jokic (36929997),Jordan Poole (36930110),Mikal Bridges (36930150),OG Anunoby (36930138),Michael Porter Jr. (36930102),50000,272.34,1.8302069971884808e-05,226.1,245.7,78.97
Jared Butler (36930398),Nikola Jokic (36929997),Jrue Holiday (36930224),OG Anunoby (36930138),Christian Braun (36930189),Desmond Bane (36930120),Alexandre Sarr (36930172),Royce O'neale (36930194),49700,261.06,0.0,173.6,242.8,78.0
Carlton Carrington (36930293),Nikola Jokic (36929997),Bam Adebayo (36930056),Marcus Smart (36930285),Desmond Bane (36930120),Oso Ighodaro (36930289),Bilal Coulibaly (36930207),Terry Rozier (36930259),50000,261.31,8.516339106912e-08,144.9,237.7,79.2
Jared Butler (36930398),Carlton Carrington (36930293),Jordan Poole (36930110),Karl-Anthony Towns (36930021),Mikal Bridges (36930150),Scottie Barnes (36930013),Josh Hart (36930098),Kevin Love (36930396),50000,264.11,3.037228738728799e-06,191.79999999999998,238.4,79.78999999999999
Nikola Jokic (36929997),Jordan Poole (36930110),Jrue Holiday (36930224),Mikal Bridges (36930150),Jay Huff (36930422),Aaron Gordon (36930147),Christian Braun (36930189),Alexandre Sarr (36930172),49900,265.56,2.1876333371324854e-06,171.3,247.70000000000002,77.46000000000001
Jared Butler (36930398),Carlton Carrington (36930293),Nikola Jokic (36929997),Jordan Poole (36930110),Karl-Anthony Towns (36930021),OG Anunoby (36930138),Aaron Wiggins (36930341),Jaylen Wells (36930336),50000,268.32,3.955698122336132e-06,206.7,227.9,79.63
Nikola Jokic (36929997),Mason Plumlee (36930301),Jrue Holiday (36930224),Mikal Bridges (36930150),OG Anunoby (36930138),Desmond Bane (36930120),Alexandre Sarr (36930172),Oso Ighodaro (36930289),49700,262.74,8.921421888035637e-07,168.3,247.2,78.53
Carlton Carrington (36930293),Nikola Jokic (36929997),Mikal Bridges (36930150),Shai Gilgeous-Alexander (36930002),Alexandre Sarr (36930172),Brandon Clarke (36930316),Alex Caruso (36930373),Aaron Wiggins (36930341),49800,259.91,4.5327300882458397e-07,160.9,225.9,78.37
Carlton Carrington (36930293),Nikola Jokic (36929997),Jrue Holiday (36930224),OG Anunoby (36930138),Scottie Barnes (36930013),Oso Ighodaro (36930289),Aaron Wiggins (36930341),Terry Rozier (36930259),50000,261.65,1.957216238027981e-07,161.9,235.7,77.86
Jared Butler (36930398),Nikola Jokic (36929997),Mason Plumlee (36930301),Jordan Poole (36930110),Mikal Bridges (36930150),Alexandre Sarr (36930172),CJ McCollum (36930094),Luguentz Dort (36930265),49900,262.69,8.818511231269828e-07,173.1,238.9,79.28999999999999
Jared Butler (36930398),Nikola Jokic (36929997),Jordan Poole (36930110),OG Anunoby (36930138),Desmond Bane (36930120),CJ McCollum (36930094),Alex Caruso (36930373),Jaylen Wells (36930336),49900,261.1,3.5596486514438935e-07,163.5,229.29999999999998,78.92
Carlton Carrington (36930293),Marvin Bagley III (36930299),Jordan Poole (36930110),Alexandre Sarr (36930172),Luka Doncic (36929999),Dereck Lively II (36930187),Haywood Highsmith (36930378),Brandon Ingram (36930052),50000,252.14,3.301888097773824e-08,124.3,232.4,79.64
