"Name","Salary","Position","Matchup","Team","Opponent","Ownership %"
"Patrick Baldwin Jr.","3,000","PF","HOU@WAS","WAS","HOU","0.0"
"Richaun Holmes","3,000","C","HOU@WAS","WAS","HOU","0.0"
"Jock Landale","3,000","C","HOU@WAS","HOU","WAS","0.0"
"Cody Williams","3,000","SF/PF","ATL@UTA","UTA","ATL","0.0"
"Patty Mills","3,000","PG","ATL@UTA","UTA","ATL","0.0"
"Micah Potter","3,000","PF/C","ATL@UTA","UTA","ATL","0.0"
"David Roddy","3,000","PF","ATL@UTA","ATL","UTA","0.0"
"Dominick Barlow","3,000","C","ATL@UTA","ATL","UTA","0.0"
"Dwight Powell","3,000","C","LAL@DAL","DAL","LAL","0.0"
"Olivier-Maxence Prosper","3,000","SF/PF","LAL@DAL","DAL","LAL","0.0"
"Markieff Morris","3,000","PF/C","LAL@DAL","DAL","LAL","0.0"
"Quincy Olivari","3,000","PG","LAL@DAL","LAL","DAL","0.0"
"Bronny James","3,000","PG","LAL@DAL","LAL","DAL","0.0"
"Armel Traore","3,000","PF/C","LAL@DAL","LAL","DAL","0.0"
"Gabe Vincent","3,000","PG/SG","LAL@DAL","LAL","DAL","0.0"
"Jalen Pickett","3,000","PG/SG","BOS@DEN","DEN","BOS","0.0"
"Hunter Tyson","3,000","SF/PF","BOS@DEN","DEN","BOS","0.0"
"Zeke Nnaji","3,000","C","BOS@DEN","DEN","BOS","0.0"
"Jaden Springer","3,000","SG/SF","BOS@DEN","BOS","DEN","0.0"
"Xavier Tillman","3,000","PF/C","BOS@DEN","BOS","DEN","0.0"
"Gui Santos","3,000","SG","MIA@GSW","GSW","MIA","0.0"
"Pat Spencer","3,000","PG","MIA@GSW","GSW","MIA","0.0"
"Quinten Post","3,000","C","MIA@GSW","GSW","MIA","0.0"
"Josh Christopher","3,000","PG","MIA@GSW","MIA","GSW","0.0"
"Pelle Larsson","3,000","SF","MIA@GSW","MIA","GSW","0.0"
"Terrence Shannon Jr.","3,000","SG/SF","MIN@NOP","MIN","NOP","0.0"
"Trey Jemison","3,000","C","MIN@NOP","NOP","MIN","0.0"
"Antonio Reeves","3,000","SG/SF","MIN@NOP","NOP","MIN","0.0"
"Javonte Green","3,000","SF/PF","MIN@NOP","NOP","MIN","0.0"
"Jeremiah Robinson-Earl","3,000","PF/C","MIN@NOP","NOP","MIN","0.0"
"Karlo Matkovic","3,000","PF/C","MIN@NOP","NOP","MIN","0.0"
"Leonard Miller","3,000","PF/C","MIN@NOP","MIN","NOP","0.0"
"Josh Minott","3,000","SF","MIN@NOP","MIN","NOP","0.0"
"Luka Garza","3,000","C","MIN@NOP","MIN","NOP","0.0"
