Name,Team,Position,Salary,Projection,Std Dev,Ceiling,Floor,Bust%,Boom%,Ownership%,Optimal%,Leverage
Taurean Prince,MIL,SF/PF,"3,300",12.51,6.89,17.16,7.87,63,3.33,0.2,0,-0.2
Ronald Holland II,DET,SF/PF,"3,000",10.66,6.91,15.32,6,65,2.89,0,0,0
Andre Jackson Jr.,MIL,SG/SF,"3,200",11.09,7.03,15.83,6.34,68,2.65,0.04,0,-0.04
Marcus Sasser,DET,PG/SG,"3,800",12.48,7.7,17.68,7.28,72,2.61,0,0,0
Kris Murray,POR,SF,"3,000",10.19,6.8,14.78,5.61,68,2.29,0.02,0.04,0.02
Dalen Terry,CHI,SF,"3,300",10.76,7.11,15.55,5.96,71,2.14,0,0.02,0.02
Kevin Porter Jr.,LAC,PG,"4,700",15.48,7.87,20.79,10.17,76,2.04,,,
Mo Bamba,LAC,C,"3,200",10.4,6.93,15.07,5.72,71,1.96,,,
Isaiah Collier,UTA,PG,"3,300",10.47,6.98,15.18,5.76,73,1.77,0,0,0
Dalano Banton,POR,PG/SG,"3,600",11.03,7.36,16,6.07,75,1.76,0,0,0
AJ Green,MIL,PG/SG,"3,600",11.56,6.85,16.19,6.94,75,1.45,0,0,0
Kyle Anderson,GSW,PF,"3,000",9.67,6.45,14.02,5.32,72,1.44,0.02,0,-0.02
Brice Sensabaugh,UTA,SF/PF,"3,500",10.5,7,15.23,5.78,77,1.31,0,0,0
Cam Spencer,MEM,SG,"3,200",9.77,6.51,14.16,5.38,76,1.1,0,0,0
Thomas Bryant,IND,C,"3,500",10.22,6.82,14.82,5.63,79,1.01,0,0,0
Kawhi Leonard,LAC,SF,"8,200",25.86,9.19,32.06,19.66,88,0.89,,,
Johnny Juzang,UTA,SG/SF,"3,600",10.23,6.82,14.83,5.63,80,0.84,0.02,0,-0.02
Nicolas Batum,LAC,PF/C,"3,000",9.67,5.73,13.54,5.8,74,0.7,,,
Cameron Payne,NYK,PG/SG,"4,400",12.11,7.15,16.93,7.29,85,0.57,0,0,0
Amir Coffey,LAC,SF/PF,"3,600",10.07,5.96,14.09,6.05,84,0.29,,,
Joe Ingles,MIN,PF,"3,000",8.01,5.34,11.61,4.41,84,0.16,,,
Hunter Tyson,DEN,SF/PF,"3,000",7.12,4.75,10.32,3.92,91,0.02,0,0,0
Julian Phillips,CHI,PF,"3,000",6.62,4.42,9.6,3.64,94,0.01,0,0,0
Svi Mykhailiuk,UTA,SG/SF,"3,200",4,2.67,5.8,2.2,99,0,0,0,0
Micah Potter,UTA,PF/C,"3,000",0.88,0.59,1.28,0.49,100,0,0,0,0
Drew Eubanks,UTA,C,"3,000",1.04,0.69,1.5,0.57,100,0,0,0,0
Zach Collins,SAS,C,"4,300",7.21,4.81,10.46,3.97,99,0,0,0,0
Blake Wesley,SAS,PG/SG,"3,000",0.66,0.44,0.96,0.36,100,0,0,0,0
Malaki Branham,SAS,PG/SG,"3,000",0.7,0.47,1.01,0.38,100,0,0,0,0
Charles Bassey,SAS,C,"3,700",1.02,0.68,1.48,0.56,100,0,0,0,0
Sandro Mamukelashvili,SAS,PF/C,"3,000",0.89,0.59,1.28,0.49,100,0,0,0,0
Sidy Cissoko,SAS,SG/SF,"3,000",0.65,0.43,0.94,0.36,100,0,0,0,0
Damion Lee,PHX,SG,"3,000",0.6,0.4,0.87,0.33,100,0,0,0,0
TyTy Washington Jr.,PHX,PG,"3,000",1.97,1.32,2.86,1.09,100,0,0,0,0
Rayan Rupert,POR,SG/SF,"3,000",2,1.34,2.9,1.1,100,0,0,0,0
Jabari Walker,POR,PF/C,"3,000",1.12,0.74,1.62,0.61,100,0,0,0,0
Duop Reath,POR,C,"3,000",1.12,0.75,1.63,0.62,100,0,0,0,0
